timestamp,x,y,z
1673588571.072,0.278523,0.752619,0.715585
1673588571.082,0.458487,0.623022,0.707438
1673588571.092,0.045833,0.506065,0.807231
1673588571.102,0.479682,0.518089,0.249008
1673588571.112,0.069282,0.089773,0.301696
1673588571.122,0.836803,0.588006,0.513581
1673588571.132,0.514880,0.922606,0.189786
1673588571.142,0.256825,0.713026,0.492023
1673588571.152,0.492220,0.307491,0.939768
1673588571.162,0.500016,0.222448,0.120962
1673588571.172,0.919967,0.362141,0.561765
1673588571.182,0.431131,0.661335,0.935890
1673588571.192,0.075638,0.494030,0.136156
1673588571.202,0.473965,0.686739,0.070626
1673588571.212,0.902344,0.383904,0.201806
1673588571.222,0.872388,0.514676,0.390293
1673588571.232,0.855936,0.839896,0.889147
1673588571.242,0.365872,0.005786,0.293855
1673588571.252,0.846284,0.193225,0.343846
1673588571.262,0.796570,0.030424,0.380954
1673588571.272,0.425234,0.826857,0.176484
1673588571.282,0.206225,0.769300,0.468023
1673588571.292,0.655421,0.289549,0.447636
1673588571.302,0.108608,0.573204,0.895524
1673588571.312,0.750103,0.095116,0.703102
1673588571.322,0.462039,0.396082,0.525645
1673588571.332,0.181811,0.817642,0.417038
1673588571.342,0.933536,0.487852,0.317902
1673588571.352,0.405361,0.451761,0.569612
1673588571.362,0.074717,0.597259,0.765331
1673588571.372,0.921155,0.435174,0.247433
1673588571.382,0.401900,0.894334,0.542785
1673588571.392,0.078124,0.622669,0.280264
1673588571.402,0.918431,0.767884,0.198952
1673588571.412,0.760441,0.891535,0.292072
1673588571.422,0.725465,0.277573,0.260762
1673588571.432,0.838663,0.724848,0.931390
1673588571.442,0.889440,0.378420,0.744358
1673588571.452,0.681433,0.209428,0.742967
1673588571.462,0.928184,0.397080,0.805953
1673588571.472,0.071802,0.854695,0.898410
1673588571.482,0.785726,0.688283,0.210016
1673588571.492,0.779100,0.073737,0.206675
1673588571.502,0.825363,0.559515,0.084943
1673588571.512,0.890497,0.295431,0.650733
1673588571.522,0.587319,0.726645,0.505702
1673588571.532,0.658785,0.416418,0.066132
1673588571.542,0.735988,0.973228,0.151770
1673588571.552,0.902777,0.009157,0.260743
1673588571.562,0.565853,0.036373,0.708780
1673588571.572,0.831012,0.050144,0.255133
1673588571.582,0.688752,0.592508,0.735648
1673588571.592,0.130372,0.471060,0.030346
1673588571.602,0.169396,0.747915,0.067296
1673588571.612,0.787728,0.028293,0.662778
1673588571.622,0.180451,0.397622,0.217355
1673588571.632,0.082525,0.611442,0.599593
1673588571.642,0.014713,0.548362,0.784310
1673588571.652,0.370034,0.866314,0.942092
1673588571.662,0.179158,0.717411,0.226075
1673588571.672,0.428311,0.038221,0.244209
1673588571.682,0.354832,0.890561,0.715481
1673588571.692,0.890208,0.194997,0.145772
1673588571.702,0.311018,0.588359,0.905052
1673588571.712,0.063951,0.541524,0.711271
1673588571.722,0.796607,0.323550,0.791465
1673588571.732,0.999711,0.329968,0.385750
1673588571.742,0.948812,0.796293,0.298003
1673588571.752,0.599843,0.297154,0.771370
1673588571.762,0.797510,0.552553,0.394703
1673588571.772,0.717928,0.444572,0.725738
1673588571.782,0.284477,0.644864,0.499273
1673588571.792,0.855397,0.359106,0.181537
1673588571.802,0.249785,0.193462,0.474472
1673588571.812,0.876716,0.963261,0.268602
1673588571.822,0.676442,0.833023,0.901313
1673588571.832,0.648855,0.273405,0.984797
1673588571.842,0.368404,0.133220,0.345783
1673588571.852,0.109666,0.096959,0.698720
1673588571.862,0.944394,0.239676,0.224718
1673588571.872,0.509274,0.295016,0.339909
1673588571.882,0.417536,0.984463,0.782043
1673588571.892,0.507916,0.445477,0.198152
1673588571.902,0.779981,0.378201,0.103916
1673588571.912,0.866479,0.103939,0.311060
1673588571.922,0.568505,0.992748,0.828198
1673588571.932,0.224876,0.435205,0.341152
1673588571.942,0.023445,0.177710,0.705251
1673588571.952,0.748233,0.160709,0.463318
1673588571.962,0.935497,0.951422,0.086975
1673588571.972,0.570153,0.431028,0.412664
1673588571.982,0.220746,0.694036,0.069299
1673588571.992,0.045225,0.641292,0.322436
1673588572.002,0.111705,0.066164,0.850789
1673588572.012,0.023586,0.314666,0.897918
1673588572.022,0.539459,0.775455,0.641513
1673588572.032,0.584189,0.257835,0.006599
1673588572.042,0.807133,0.357556,0.214206
1673588572.052,0.363080,0.751222,0.930077
1673588572.062,0.625401,0.107325,0.875584
1673588572.072,0.918689,0.638063,0.365702
1673588572.082,0.183488,0.608413,0.254365
1673588572.092,0.457078,0.919578,0.625115
1673588572.102,0.530585,0.367085,0.794117
1673588572.112,0.630131,0.686466,0.215109
1673588572.122,0.918425,0.323601,0.993954
1673588572.132,0.457533,0.312050,0.079346
1673588572.142,0.620926,0.998777,0.417347
1673588572.152,0.056348,0.293416,0.339694
1673588572.162,0.969089,0.337357,0.885104
1673588572.172,0.714725,0.485135,0.209710
1673588572.182,0.570413,0.571382,0.224193
1673588572.192,0.067436,0.801133,0.193987
1673588572.202,0.087603,0.113041,0.976520
1673588572.212,0.780398,0.160436,0.037173
1673588572.222,0.811064,0.206089,0.436047
1673588572.232,0.934680,0.093269,0.399083
1673588572.242,0.419246,0.061816,0.132599
1673588572.252,0.428618,0.539354,0.650529
1673588572.262,0.672482,0.074383,0.234936
1673588572.272,0.656698,0.559049,0.404020
1673588572.282,0.319608,0.007580,0.132363
1673588572.292,0.670013,0.485252,0.267163
1673588572.302,0.869147,0.767394,0.002167
1673588572.312,0.797848,0.328957,0.686991
1673588572.322,0.296591,0.938587,0.825745
1673588572.332,0.966488,0.797466,0.611987
1673588572.342,0.084478,0.200429,0.751645
1673588572.352,0.051523,0.031272,0.423942
1673588572.362,0.309935,0.348428,0.166794
1673588572.372,0.822279,0.874837,0.898621
1673588572.382,0.619852,0.557606,0.202174
1673588572.392,0.606183,0.815360,0.234993
1673588572.402,0.213703,0.381189,0.185388
1673588572.412,0.239224,0.877542,0.602560
1673588572.422,0.882371,0.589445,0.769806
1673588572.432,0.554815,0.563304,0.014737
1673588572.442,0.490917,0.606157,0.914157
1673588572.452,0.964634,0.355462,0.796430
1673588572.462,0.504270,0.733017,0.539292
1673588572.472,0.654609,0.010561,0.597407
1673588572.482,0.166874,0.415732,0.264957
